cis_id,cis_control,d3fend_id,d3fend_tactic,d3fend_technique,attack_id
1.1,CIS 1.1 (L1) Ensure 'Allow Cortana Above Lock' is set to 'Block' (Automated),D3-DA,Detect,Asset Inventory,T1082
4.1.3.1,CIS 4.1.3.1 (L1) Ensure 'Prevent enabling lock screen camera' is set to 'Enabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.1.3.2,CIS 4.1.3.2 (L1) Ensure 'Prevent enabling lock screen slide show' is set to 'Enabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.4.1,CIS 4.4.1 (L1) Ensure 'Apply UAC restrictions to local accounts on network logons' is set to 'Enabled' (Automated),D3-LAM,Access Control,Account Management,T1078
4.4.2,CIS 4.4.2 (L1) Ensure 'Configure SMB v1 client driver' is set to 'Enabled: Disable driver (recommended)' (Automated),D3-NI,Isolate,Network Isolation,T1563
4.4.3,CIS 4.4.3 (L1) Ensure 'Configure SMB v1 server' is set to 'Disabled' (Automated),D3-NI,Isolate,Network Isolation,T1563
4.4.4,CIS 4.4.4 (L1) Ensure 'Enable Structured Exception Handling Overwrite Protection (SEHOP)' is set to 'Enabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.4.5,CIS 4.4.5 (L1) Ensure 'WDigest Authentication' is set to 'Disabled' (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
4.5.1,CIS 4.5.1 (L1) Ensure 'MSS: (AutoAdminLogon) Enable Automatic Logon (not recommended)' is set to 'Disabled' (Automated),D3-LME,Detect,Log Management,T1005
4.5.2,"CIS 4.5.2 (L1) Ensure 'MSS: (DisableIPSourceRouting IPv6) IP source routing protection level (protects against packet spoofing)' is set to 'Enabled: Highest protection, source routing is completely disabled' (Automated)",D3-NI,Isolate,Network Isolation,T1563
4.5.3,"CIS 4.5.3 (L1) Ensure 'MSS: (DisableIPSourceRouting) IP source routing protection level (protects against packet spoofing)' is set to 'Enabled: Highest protection, source routing is completely disabled' (Automated)",D3-NI,Isolate,Network Isolation,T1563
4.5.5,CIS 4.5.5 (L1) Ensure 'MSS: (EnableICMPRedirect) Allow ICMP redirects to override OSPF generated routes' is set to 'Disabled' (Automated),D3-NI,Isolate,Network Isolation,T1563
4.5.7,CIS 4.5.7 (L1) Ensure 'MSS: (NoNameReleaseOnDemand) Allow the computer to ignore NetBIOS name release requests except from WINS servers' is set to 'Enabled' (Automated),D3-NI,Isolate,Network Isolation,T1563
4.5.9,CIS 4.5.9 (L1) Ensure 'MSS: (SafeDllSearchMode) Enable Safe DLL search mode (recommended)' is set to 'Enabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.5.10,CIS 4.5.10 (L1) Ensure 'MSS: (ScreenSaverGracePeriod) The time in seconds before the screen saver grace period expires (0 recommended)' is set to 'Enabled: 5 or fewer seconds' (Automated),D3-SCA,Harden,System Configuration,T1546
4.5.13,CIS 4.5.13 (L1) Ensure 'MSS: (WarningLevel) Percentage threshold for the security event log at which the system will generate a warning' is set to 'Enabled: 90% or less' (Automated),D3-LME,Detect,Log Management,T1005
4.6.4.1,CIS 4.6.4.1 (L1) Ensure 'Turn off multicast name resolution' is set to 'Enabled' (Automated),D3-NI,Isolate,Network Isolation,T1563
4.6.9.1,CIS 4.6.9.1 (L1) Ensure 'Prohibit installation and configuration of Network Bridge on your DNS domain network' is set to 'Enabled' (Automated),D3-NI,Isolate,Network Isolation,T1563
4.6.9.2,CIS 4.6.9.2 (L1) Ensure 'Prohibit use of Internet Connection Sharing on your DNS domain network' is set to 'Enabled' (Automated),D3-NI,Isolate,Network Isolation,T1563
4.6.9.3,CIS 4.6.9.3 (L1) Ensure 'Require domain users to elevate when setting a network's location' is set to 'Enabled' (Automated),D3-NI,Isolate,Network Isolation,T1563
4.6.11.1,"CIS 4.6.11.1 (L1) Ensure 'Hardened UNC Paths' is set to 'Enabled, with ""Require Mutual Authentication"", ""Require Integrity"", and “Require Privacy” set for all NETLOGON and SYSVOL shares' (Automated)",D3-MFA,Access Control,Multi-factor Authentication,T1556
4.6.18.1,CIS 4.6.18.1 (L1) Ensure 'Minimize the number of simultaneous connections to the Internet or a Windows Domain' is set to 'Enabled: 3 = Prevent Wi-Fi when on Ethernet' (Automated),D3-NI,Isolate,Network Isolation,T1563
4.6.18.2,CIS 4.6.18.2 (L1) Ensure 'Prohibit connection to non-domain networks when connected to domain authenticated network' is set to 'Enabled' (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
4.7.1,CIS 4.7.1 (L1) Ensure 'Allow Print Spooler to accept client connections' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.7.2,CIS 4.7.2 (L1) Ensure 'Configure Redirection Guard: Redirection Guard Options' is set to 'Enabled: Redirection Guard Enabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.7.3,CIS 4.7.3 (L1) Ensure 'Configure RPC connection settings: Protocol to use for outgoing RPC connections' is set to 'Enabled: RPC over TCP' (Automated),D3-SCA,Harden,System Configuration,T1546
4.7.4,CIS 4.7.4 (L1) Ensure 'Configure RPC connection settings: Use authentication for outgoing RPC connections' is set to 'Enabled: Default' (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
4.7.5,CIS 4.7.5 (L1) Ensure 'Configure RPC listener settings: Authentication protocol to use for incoming RPC connections:' is set to 'Enabled: Negotiate' or higher (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
4.7.6,CIS 4.7.6 (L1) Ensure 'Configure RPC listener settings: Protocols to allow for incoming RPC connections' is set to 'Enabled: RPC over TCP' (Automated),D3-SCA,Harden,System Configuration,T1546
4.7.7,CIS 4.7.7 (L1) Ensure 'Configure RPC over TCP port: RPC over TCP port:' is set to 'Enabled: 0' (Automated),D3-SCA,Harden,System Configuration,T1546
4.7.8,CIS 4.7.8 (L1) Ensure 'Limits print driver installation to Administrators' is set to 'Enabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.7.9,CIS 4.7.9 (L1) Ensure 'Manage processing of Queue-specific files: Manage processing of Queue-Specific files' is set to 'Enabled: Limit Queue-specific files to Color profiles' (Automated),D3-LME,Detect,Log Management,T1005
4.7.10,CIS 4.7.10 (L1) Ensure 'Point and Print Restrictions: When installing drivers for a new connection' is set to 'Enabled: Show warning and elevation prompt' (Automated),D3-SCA,Harden,System Configuration,T1546
4.7.11,CIS 4.7.11 (L1) Ensure 'Point and Print Restrictions: When updating drivers for an existing connection' is set to 'Enabled: Show warning and elevation prompt' (Automated),D3-SCA,Harden,System Configuration,T1546
4.9.1.1,CIS 4.9.1.1 (L1) Ensure 'Turn off toast notifications on the lock screen (User)' is set to 'Enabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.10.4.1,CIS 4.10.4.1 (L1) Ensure 'Include command line in process creation events' is set to 'Enabled' (Automated),D3-LME,Detect,Log Management,T1005
4.10.5.1,CIS 4.10.5.1 (L1) Ensure 'Encryption Oracle Remediation' is set to 'Enabled: Force Updated Clients' (Automated),D3-PM,Harden,Patch Management,T1072
4.10.5.2,CIS 4.10.5.2 (L1) Ensure 'Remote host allows delegation of non- exportable credentials' is set to 'Enabled' (Automated),D3-LAM,Access Control,Account Management,T1078
4.10.9.2,CIS 4.10.9.2 (L1) Ensure 'Prevent device metadata retrieval from the Internet' is set to 'Enabled' (Automated),D3-DL Prevention,Isolate,Data Loss Prevention,T1565
4.10.13.1,"CIS 4.10.13.1 (L1) Ensure 'Boot-Start Driver Initialization Policy' is set to 'Enabled: Good, unknown and bad but critical' (Automated)",D3-SCA,Harden,System Configuration,T1546
4.10.19.1,CIS 4.10.19.1 (L1) Ensure 'Continue experiences on this device' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.10.19.2,CIS 4.10.19.2 (L1) Ensure 'Turn off background refresh of Group Policy' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.10.20.1.2,CIS 4.10.20.1.2 (L1) Ensure 'Turn off downloading of print drivers over HTTP' is set to 'Enabled' (Automated),D3-NI,Isolate,Network Isolation,T1563
4.10.20.1.5,CIS 4.10.20.1.5 (L1) Ensure 'Turn off Internet download for Web publishing and online ordering wizards' is set to 'Enabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.10.26.1,CIS 4.10.26.1 (L1) Ensure 'Block user from showing account details on sign-in' is set to 'Enabled' (Automated),D3-LAM,Access Control,Account Management,T1078
4.10.26.2,CIS 4.10.26.2 (L1) Ensure 'Do not display network selection UI' is set to 'Enabled' (Automated),D3-NI,Isolate,Network Isolation,T1563
4.10.26.3,CIS 4.10.26.3 (L1) Ensure 'Do not enumerate connected users on domain-joined computers' is set to 'Enabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.10.26.4,CIS 4.10.26.4 (L1) Ensure 'Enumerate local users on domain-joined computers' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.10.26.5,CIS 4.10.26.5 (L1) Ensure 'Turn off app notifications on the lock screen' is set to 'Enabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.10.26.6,CIS 4.10.26.6 (L1) Ensure 'Turn off picture password sign-in' is set to 'Enabled' (Automated),D3-PWD,Access Control,Password Policies,T1201
4.10.26.7,CIS 4.10.26.7 (L1) Ensure 'Turn on convenience PIN sign-in' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.10.29.5.1,CIS 4.10.29.5.1 (L1) Ensure 'Require a password when a computer wakes (on battery)' is set to 'Enabled' (Automated),D3-PWD,Access Control,Password Policies,T1201
4.10.29.5.2,CIS 4.10.29.5.2 (L1) Ensure 'Require a password when a computer wakes (plugged in)' is set to 'Enabled' (Automated),D3-PWD,Access Control,Password Policies,T1201
4.10.30.1,CIS 4.10.30.1 (L1) Ensure 'Configure Offer Remote Assistance' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.10.30.2,CIS 4.10.30.2 (L1) Ensure 'Configure Solicited Remote Assistance' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.10.31.1,CIS 4.10.31.1 (L1) Ensure 'Enable RPC Endpoint Mapper Client Authentication' is set to 'Enabled' (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
4.10.31.2,CIS 4.10.31.2 (L1) Ensure 'Restrict Unauthenticated RPC clients' is set to 'Enabled: Authenticated' (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
4.10.44.1.1,CIS 4.10.44.1.1 (L1) Ensure 'Enable Windows NTP Client' is set to 'Enabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.10.44.1.2,CIS 4.10.44.1.2 (L1) Ensure 'Enable Windows NTP Server' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.11.3.1,CIS 4.11.3.1 (L1) Ensure 'Allow Microsoft accounts to be optional' is set to 'Enabled' (Automated),D3-LAM,Access Control,Account Management,T1078
4.11.5.1,CIS 4.11.5.1 (L1) Ensure 'Do not preserve zone information in file attachments (User)' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.11.5.2,CIS 4.11.5.2 (L1) Ensure 'Notify antivirus programs when opening attachments (User)' is set to 'Enabled' (Automated),D3-AV,Detect,Anti-Virus,T1589
4.11.6.1,CIS 4.11.6.1 (L1) Ensure 'Disallow Autoplay for non-volume devices' is set to 'Enabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.11.6.2,CIS 4.11.6.2 (L1) Ensure 'Set the default behavior for AutoRun' is set to 'Enabled: Do not execute any autorun commands' (Automated),D3-SCA,Harden,System Configuration,T1546
4.11.6.3,CIS 4.11.6.3 (L1) Ensure 'Turn off Autoplay' is set to 'Enabled: All drives' (Automated),D3-SCA,Harden,System Configuration,T1546
4.11.8.1,CIS 4.11.8.1 (L1) Ensure 'Do not display the password reveal button' is set to 'Enabled' (Automated),D3-PWD,Access Control,Password Policies,T1201
4.11.8.2,CIS 4.11.8.2 (L1) Ensure 'Enumerate administrator accounts on elevation' is set to 'Disabled' (Automated),D3-LAM,Access Control,Account Management,T1078
4.11.8.3,CIS 4.11.8.3 (L1) Ensure 'Prevent the use of security questions for local accounts' is set to 'Enabled' (Automated),D3-LAM,Access Control,Account Management,T1078
4.11.10.1,CIS 4.11.10.1 (L1) Ensure 'Enable App Installer Experimental Features' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.11.10.2,CIS 4.11.10.2 (L1) Ensure 'Enable App Installer Hash Override' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.11.10.3,CIS 4.11.10.3 (L1) Ensure 'Enable App Installer ms-appinstaller protocol' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.11.15.1.1,CIS 4.11.15.1.1 (L1) Ensure 'Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled' (Automated),D3-LME,Detect,Log Management,T1005
4.11.15.2.1,CIS 4.11.15.2.1 (L1) Ensure 'Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled' (Automated),D3-LME,Detect,Log Management,T1005
4.11.15.3.1,CIS 4.11.15.3.1 (L1) Ensure 'Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled' (Automated),D3-LME,Detect,Log Management,T1005
4.11.15.4.1,CIS 4.11.15.4.1 (L1) Ensure 'Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled' (Automated),D3-LME,Detect,Log Management,T1005
4.11.15.1.2,"CIS 4.11.15.1.2 (L1) Ensure 'Specify the maximum log file size (KB)' is set to 'Enabled: 32,768 or greater' (Automated)",D3-LME,Detect,Log Management,T1005
4.11.15.3.2,"CIS 4.11.15.3.2 (L1) Ensure 'Specify the maximum log file size (KB)' is set to 'Enabled: 32,768 or greater' (Automated)",D3-LME,Detect,Log Management,T1005
4.11.15.4.2,"CIS 4.11.15.4.2 (L1) Ensure 'Specify the maximum log file size (KB)' is set to 'Enabled: 32,768 or greater' (Automated)",D3-LME,Detect,Log Management,T1005
4.11.15.2.2,"CIS 4.11.15.2.2 (L1) Ensure 'Specify the maximum log file size (KB)' is set to 'Enabled: 196,608 or greater' (Automated)",D3-LME,Detect,Log Management,T1005
4.11.18.1,CIS 4.11.18.1 (L1) Ensure 'Configure Windows Defender SmartScreen' is set to 'Enabled: Warn and prevent bypass' (Automated),D3-SCA,Harden,System Configuration,T1546
4.11.18.2,CIS 4.11.18.2 (L1) Ensure 'Turn off Data Execution Prevention for Explorer' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.11.18.3,CIS 4.11.18.3 (L1) Ensure 'Turn off heap termination on corruption' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.11.18.4,CIS 4.11.18.4 (L1) Ensure 'Turn off shell protocol protected mode' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.11.27.1,CIS 4.11.27.1 (L1) Ensure 'Block all consumer Microsoft account user authentication' is set to 'Enabled' (Automated),D3-LAM,Access Control,Account Management,T1078
4.11.28.3.1,CIS 4.11.28.3.1 (L1) Ensure 'Configure local setting override for reporting to Microsoft MAPS' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.11.31.1,CIS 4.11.31.1 (L1) Ensure 'Prevent users from sharing files within their profile. (User)' is set to 'Enabled' (Automated),D3-NI,Isolate,Network Isolation,T1563
4.11.36.3.2,CIS 4.11.36.3.2 (L1) Ensure 'Do not allow passwords to be saved' is set to 'Enabled' (Automated),D3-PWD,Access Control,Password Policies,T1201
4.11.36.4.3.2,CIS 4.11.36.4.3.2 (L1) Ensure 'Do not allow drive redirection' is set to 'Enabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.11.36.4.9.1,CIS 4.11.36.4.9.1 (L1) Ensure 'Always prompt for password upon connection' is set to 'Enabled' (Automated),D3-PWD,Access Control,Password Policies,T1201
4.11.36.4.9.2,CIS 4.11.36.4.9.2 (L1) Ensure 'Require secure RPC communication' is set to 'Enabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.11.36.4.9.3,CIS 4.11.36.4.9.3 (L1) Ensure 'Require use of specific security layer for remote (RDP) connections' is set to 'Enabled: SSL' (Automated),D3-SCA,Harden,System Configuration,T1546
4.11.36.4.9.4,CIS 4.11.36.4.9.4 (L1) Ensure 'Require user authentication for remote connections by using Network Level Authentication' is set to 'Enabled' (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
4.11.36.4.9.5,CIS 4.11.36.4.9.5 (L1) Ensure 'Set client connection encryption level' is set to 'Enabled: High Level' (Automated),D3-FKA,Access Control,File Encryption,T1213
4.11.36.4.11.1,CIS 4.11.36.4.11.1 (L1) Ensure 'Do not delete temp folders upon exit' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.11.37.1,CIS 4.11.37.1 (L1) Ensure 'Prevent downloading of enclosures' is set to 'Enabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.11.42.1,CIS 4.11.42.1 (L1) Ensure 'Turn off the offer to update to the latest version of Windows' is set to 'Enabled' (Automated),D3-PM,Harden,Patch Management,T1072
4.11.50.1,CIS 4.11.50.1 (L1) Ensure 'Enable MPR notifications for the system' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.11.50.2,CIS 4.11.50.2 (L1) Ensure 'Sign-in and lock last interactive user automatically after a restart' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.11.55.1.1,CIS 4.11.55.1.1 (L1) Ensure 'Allow Basic authentication' is set to 'Disabled' (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
4.11.55.2.1,CIS 4.11.55.2.1 (L1) Ensure 'Allow Basic authentication' is set to 'Disabled' (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
4.11.55.1.2,CIS 4.11.55.1.2 (L1) Ensure 'Allow unencrypted traffic' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.11.55.2.3,CIS 4.11.55.2.3 (L1) Ensure 'Allow unencrypted traffic' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
4.11.55.1.3,CIS 4.11.55.1.3 (L1) Ensure 'Disallow Digest authentication' is set to 'Enabled' (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
4.11.55.2.4,CIS 4.11.55.2.4 (L1) Ensure 'Disallow WinRM from storing RunAs credentials' is set to 'Enabled' (Automated),D3-LAM,Access Control,Account Management,T1078
6.1,CIS 6.1 (L1) Ensure 'Account Logon Audit Credential Validation' is set to 'Success and Failure' (Automated),D3-LAM,Access Control,Account Management,T1078
6.2,CIS 6.2 (L1) Ensure 'Account Logon Logoff Audit Account Lockout' is set to include 'Failure' (Automated),D3-LAM,Access Control,Account Management,T1078
6.3,CIS 6.3 (L1) Ensure 'Account Logon Logoff Audit Group Membership' is set to include 'Success' (Automated),D3-LAM,Access Control,Account Management,T1078
6.4,CIS 6.4 (L1) Ensure 'Account Logon Logoff Audit Logoff' is set to include 'Success' (Automated),D3-LAM,Access Control,Account Management,T1078
6.5,CIS 6.5 (L1) Ensure 'Account Logon Logoff Audit Logon' is set to 'Success and Failure' (Automated),D3-LAM,Access Control,Account Management,T1078
6.6,CIS 6.6 (L1) Ensure 'Account Management Audit Application Group Management' is set to 'Success and Failure' (Automated),D3-LAM,Access Control,Account Management,T1078
6.7,CIS 6.7 (L1) Ensure 'Audit Authentication Policy Change' is set to include 'Success' (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
6.8,CIS 6.8 (L1) Ensure 'Audit Authorization Policy Change' is set to include 'Success' (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
6.9,CIS 6.9 (L1) Ensure 'Audit Changes to Audit Policy' is set to include 'Success' (Automated),D3-LME,Detect,Log Management,T1005
6.10,CIS 6.10 (L1) Ensure 'Audit File Share Access' is set to 'Success and Failure' (Automated),D3-LME,Detect,Log Management,T1005
6.11,CIS 6.11 (L1) Ensure 'Audit Other Logon Logoff Events' is set to 'Success and Failure' (Automated),D3-LME,Detect,Log Management,T1005
6.12,CIS 6.12 (L1) Ensure 'Audit Security Group Management' is set to include 'Success' (Automated),D3-LME,Detect,Log Management,T1005
6.13,CIS 6.13 (L1) Ensure 'Audit Security System Extension' is set to include 'Success' (Automated),D3-LME,Detect,Log Management,T1005
6.14,CIS 6.14 (L1) Ensure 'Audit Special Logon' is set to include 'Success' (Automated),D3-LME,Detect,Log Management,T1005
6.15,CIS 6.15 (L1) Ensure 'Audit User Account Management' is set to 'Success and Failure' (Automated),D3-LAM,Access Control,Account Management,T1078
6.16,CIS 6.16 (L1) Ensure 'Detailed Tracking Audit PNP Activity' is set to include 'Success' (Automated),D3-LME,Detect,Log Management,T1005
6.17,CIS 6.17 (L1) Ensure 'Detailed Tracking Audit Process Creation' is set to include 'Success' (Automated),D3-LME,Detect,Log Management,T1005
6.18,CIS 6.18 (L1) Ensure 'Object Access Audit Detailed File Share' is set to include 'Failure' (Automated),D3-LME,Detect,Log Management,T1005
6.19,CIS 6.19 (L1) Ensure 'Object Access Audit Other Object Access Events' is set to 'Success and Failure' (Automated),D3-LME,Detect,Log Management,T1005
6.20,CIS 6.20 (L1) Ensure 'Object Access Audit Removable Storage' is set to 'Success and Failure' (Automated),D3-LME,Detect,Log Management,T1005
6.21,CIS 6.21 (L1) Ensure 'Policy Change Audit MPSSVC Rule Level Policy Change' is set to 'Success and Failure' (Automated),D3-LME,Detect,Log Management,T1005
6.22,CIS 6.22 (L1) Ensure 'Policy Change Audit Other Policy Change Events' is set to include 'Failure' (Automated),D3-LME,Detect,Log Management,T1005
6.23,CIS 6.23 (L1) Ensure 'Privilege Use Audit Sensitive Privilege Use' is set to 'Success and Failure' (Automated),D3-LME,Detect,Log Management,T1005
6.24,CIS 6.24 (L1) Ensure 'System Audit I Psec Driver' is set to 'Success and Failure' (Automated),D3-SCA,Harden,System Configuration,T1546
6.25,CIS 6.25 (L1) Ensure 'System Audit Other System Events' is set to 'Success and Failure' (Automated),D3-LME,Detect,Log Management,T1005
6.26,CIS 6.26 (L1) Ensure 'System Audit Security State Change' is set to include 'Success' (Automated),D3-LME,Detect,Log Management,T1005
6.27,CIS 6.27 (L1) Ensure 'System Audit System Integrity' is set to 'Success and Failure' (Automated),D3-LME,Detect,Log Management,T1005
15.1,CIS 15.1 (L1) Ensure 'Config refresh' is set to 'Enabled' (Automated),D3-SCA,Harden,System Configuration,T1546
15.2,CIS 15.2 (L1) Ensure 'Refresh cadence' is set to '90' (or less) (Automated),D3-SCA,Harden,System Configuration,T1546
22.1,CIS 22.1 (L1) Ensure 'Allow Behavior Monitoring' is set to 'Allowed' (Automated),D3-LME,Detect,Log Management,T1005
22.2,CIS 22.2 (L1) Ensure 'Allow Email Scanning' is set to 'Allowed' (Automated),D3-SCA,Harden,System Configuration,T1546
22.3,CIS 22.3 (L1) Ensure 'Allow Full Scan Removable Drive Scanning' is set to 'Allowed' (Automated),D3-SCA,Harden,System Configuration,T1546
22.4,CIS 22.4 (L1) Ensure 'Allow Realtime Monitoring' is set to 'Allowed' (Automated),D3-LME,Detect,Log Management,T1005
22.5,CIS 22.5 (L1) Ensure 'Allow scanning of all downloaded files and attachments' is set to 'Allowed' (Automated),D3-SCA,Harden,System Configuration,T1546
22.6,CIS 22.6 (L1) Ensure 'Allow Script Scanning' is set to 'Allowed' (Automated),D3-SCA,Harden,System Configuration,T1546
22.7,CIS 22.7 (L1) Ensure 'ASR: Block abuse of exploited vulnerable signed drivers' is set to 'Block` (Automated),D3-SCA,Harden,System Configuration,T1546
22.8,CIS 22.8 (L1) Ensure 'ASR: Block Adobe Reader from creating child processes' is set to 'Block' (Automated),D3-LME,Detect,Log Management,T1005
22.9,CIS 22.9 (L1) Ensure 'ASR: Block all Office applications from creating child processes' is set to 'Audit' or higher (Automated),D3-LME,Detect,Log Management,T1005
22.10,CIS 22.10 (L1) Ensure 'ASR: Block credential stealing from the Windows local security authority subsystem' is set to 'Block' (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
22.11,CIS 22.11 (L1) Ensure 'ASR: Block executable content from email client and webmail' is set to 'Block' (Automated),D3-SCA,Harden,System Configuration,T1546
22.12,"CIS 22.12 (L1) Ensure 'ASR: Block executable files from running unless they meet a prevalence, age, or trusted list criterion' is set to 'Audit' or higher (Automated)",D3-LME,Detect,Log Management,T1005
22.13,CIS 22.13 (L1) Ensure 'ASR: Block execution of potentially obfuscated scripts' is set to 'Audit' or higher (Automated),D3-LME,Detect,Log Management,T1005
22.14,CIS 22.14 (L1) Ensure 'ASR: Block JavaScript or VBScript from launching downloaded executable content' is set to 'Block' (Automated),D3-SCA,Harden,System Configuration,T1546
22.15,CIS 22.15 (L1) Ensure 'ASR: Block Office applications from creating executable content' is set to 'Block' (Automated),D3-SCA,Harden,System Configuration,T1546
22.16,CIS 22.16 (L1) Ensure 'ASR: Block Office applications from injecting code into other processes' is set to 'Block' (Automated),D3-LME,Detect,Log Management,T1005
22.17,CIS 22.17 (L1) Ensure 'ASR: Block Office communication application from creating child processes' is set to 'Audit' or higher (Automated),D3-LME,Detect,Log Management,T1005
22.18,CIS 22.18 (L1) Ensure 'ASR: Block persistence through WMI event subscription' is set to 'Block' (Automated),D3-SCA,Harden,System Configuration,T1546
