cis_id,cis_control,d3fend_id,d3fend_tactic,d3fend_technique,attack_id
22.19,CIS 22.19 (L1) Ensure 'ASR: Block process creations originating from PSExec and WMI commands' is set to 'Audit' or higher (Automated),D3-LME,Detect,Log Management,T1005
22.20,CIS 22.20 (L1) Ensure 'ASR: Block untrusted and unsigned processes that run from USB' is set to 'Block' (Automated),D3-LME,Detect,Log Management,T1005
22.21,CIS 22.21 (L1) Ensure 'ASR: Block Win32 API calls from Office macros' is set to 'Block' (Automated),D3-SCA,Harden,System Configuration,T1546
22.22,CIS 22.22 (L1) Ensure 'ASR: Use advanced protection against ransomware' is set to 'Audit' or higher (Automated),D3-LME,Detect,Log Management,T1005
22.23,CIS 22.23 (L1) Ensure 'Days Until Aggressive Catchup Quick Scan' is set to '7 days' or fewer (Automated),D3-SCA,Harden,System Configuration,T1546
22.26,CIS 22.26 (L1) Ensure 'Enable Network Protection' is set to 'Enabled (block mode)' (Automated),D3-NI,Isolate,Network Isolation,T1563
22.27,CIS 22.27 (L1) Ensure 'Hide Exclusions From Local Users' is set to 'Enabled' (Automated),D3-SCA,Harden,System Configuration,T1546
22.28,CIS 22.28 (L1) Ensure 'Oobe Enable Rtp And Sig Update' is set to 'Enabled' (Automated),D3-PM,Harden,Patch Management,T1072
22.29,CIS 22.29 (L1) Ensure 'PUA Protection' is set to 'PUA Protection on' (Automated),D3-SCA,Harden,System Configuration,T1546
22.30,CIS 22.30 (L1) Ensure 'Quick Scan Include Exclusions' is set to '1' (Automated),D3-SCA,Harden,System Configuration,T1546
22.32,CIS 22.32 (L1) Ensure 'Remote Encryption Protection Configured State' is set to 'Audit: Generate EDR detections without blocking' or higher (Automated),D3-SCA,Harden,System Configuration,T1546
23.1,CIS 23.1 (L1) Ensure 'DO Download Mode' is NOT set to 'HTTP blended with Internet Peering' (Automated),D3-NI,Isolate,Network Isolation,T1563
24.1,CIS 24.1 (L1) Ensure 'Configure System Guard Launch' is set to 'Unmanaged Enables Secure Launch if supported by hardware' (Automated),D3-SCA,Harden,System Configuration,T1546
24.2,CIS 24.2 (L1) Ensure 'Credential Guard' is set to 'Enabled with UEFI lock' (Automated),D3-LAM,Access Control,Account Management,T1078
24.3,CIS 24.3 (L1) Ensure 'Enable Virtualization Based Security' is set to 'Enable virtualization based security' (Automated),D3-SCA,Harden,System Configuration,T1546
24.4,CIS 24.4 (L1) Ensure 'Require Platform Security Features' is set to 'Turns on VBS with Secure Boot' or higher (Automated),D3-SB,Harden,Execution Prevention,T1542
26.1,CIS 26.1 (L1) Ensure 'Device Password Enabled' is set to 'Enabled' (Automated),D3-PWD,Access Control,Password Policies,T1201
26.2,CIS 26.2 (L1) Ensure 'Device Password Enabled: Alphanumeric Device Password Required' is set to 'Password or Alphanumeric PIN required' (Automated),D3-PWD,Access Control,Password Policies,T1201
26.3,CIS 26.3 (L1) Ensure 'Device Password Enabled: Min Device Password Complex Characters' is set to 'Digits and lowercase letters are required' (Automated),D3-PWD,Access Control,Password Policies,T1201
26.4,"CIS 26.4 (L1) Ensure 'Device Password Enabled: Device Password Expiration' is set to '365 or fewer days, but not 0' (Automated)",D3-PWD,Access Control,Password Policies,T1201
26.5,CIS 26.5 (L1) Ensure 'Device Password Enabled: Device Password History' is set to '24 or more password(s)' (Automated),D3-PWD,Access Control,Password Policies,T1201
26.6,"CIS 26.6 (L1) Ensure 'Device Password Enabled: Max Device Password Failed Attempts' is set to '5 or fewer failed attempt(s), but not 0' (Automated)",D3-PWD,Access Control,Password Policies,T1201
26.7,"CIS 26.7 (L1) Ensure 'Device Password Enabled: Max Inactivity Time Device Lock' is set to '15 or fewer minutes, but not 0' (Automated)",D3-PWD,Access Control,Password Policies,T1201
26.8,CIS 26.8 (L1) Ensure 'Device Password Enabled: Min Device Password Length' is set to '14 or more character(s)' (Automated),D3-PWD,Access Control,Password Policies,T1201
26.9,CIS 26.9 (L1) Ensure 'Minimum Password Age' is set to '1 or more day(s)' (Automated),D3-PWD,Access Control,Password Policies,T1201
34.1,CIS 34.1 (L1) Ensure 'Allow Cortana' is set to 'Block' (Automated),D3-SCA,Harden,System Configuration,T1546
34.2,CIS 34.2 (L1) Ensure 'Allow Spotlight Collection (User)' is set to '0' (Automated),D3-SCA,Harden,System Configuration,T1546
34.4,CIS 34.4 (L1) Ensure 'Disable Consumer Account State Content' is set to 'Enabled' (Automated),D3-LAM,Access Control,Account Management,T1078
34.5,CIS 34.5 (L1) Ensure 'Do not show feedback notifications' is set to 'Feedback notifications are disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
38.1,CIS 38.1 (L1) Ensure 'Enable Domain Network Firewall' is set to 'True' (Automated),D3-NI,Isolate,Network Isolation,T1563
38.2,CIS 38.2 (L1) Ensure 'Enable Domain Network Firewall: Default Inbound Action for Domain Profile' is set to 'Block' (Automated),D3-NI,Isolate,Network Isolation,T1563
38.3,CIS 38.3 (L1) Ensure 'Enable Domain Network Firewall: Disable Inbound Notifications' is set to 'True' (Automated),D3-NI,Isolate,Network Isolation,T1563
38.4,CIS 38.4 (L1) Ensure 'Enable Domain Network Firewall: Enable Log Dropped Packets' is set to 'Yes: Enable Logging Of Dropped Packets' (Automated),D3-NI,Isolate,Network Isolation,T1563
38.5,CIS 38.5 (L1) Ensure 'Enable Domain Network Firewall: Enable Log Success Connections' is set to 'Enable Logging Of Successful Connections' (Automated),D3-NI,Isolate,Network Isolation,T1563
38.6,CIS 38.6 (L1) Ensure 'Enable Domain Network Firewall: Log File Path' is set to '%SystemRoot%\System32\logfiles\firewall\domainfw.log ' (Automated),D3-NI,Isolate,Network Isolation,T1563
38.7,"CIS 38.7 (L1) Ensure 'Enable Domain Network Firewall: Log Max File Size' is set to '16,384 KB or greater' (Automated)",D3-NI,Isolate,Network Isolation,T1563
38.8,CIS 38.8 (L1) Ensure 'Enable Private Network Firewall' is set to 'True' (Automated),D3-NI,Isolate,Network Isolation,T1563
38.9,CIS 38.9 (L1) Ensure 'Enable Private Network Firewall: Default Inbound Action for Private Profile' is set to 'Block' (Automated),D3-NI,Isolate,Network Isolation,T1563
38.10,CIS 38.10 (L1) Ensure 'Enable Private Network Firewall: Disable Inbound Notifications' is set to 'True' (Automated),D3-NI,Isolate,Network Isolation,T1563
38.11,CIS 38.11 (L1) Ensure 'Enable Private Network Firewall: Enable Log Success Connections' is set to 'Enable Logging Of Successful Connections' (Automated),D3-NI,Isolate,Network Isolation,T1563
38.12,CIS 38.12 (L1) Ensure 'Enable Private Network Firewall: Enable Log Dropped Packets' is set to 'Yes: Enable Logging Of Dropped Packets' (Automated),D3-NI,Isolate,Network Isolation,T1563
38.13,CIS 38.13 (L1) Ensure 'Enable Private Network Firewall: Log File Path' is set to '%SystemRoot%\System32\logfiles\firewall\privatefw.log' (Automated),D3-NI,Isolate,Network Isolation,T1563
38.14,"CIS 38.14 (L1) Ensure 'Enable Private Network Firewall: Log Max File Size' is set to '16,384 KB or greater' (Automated)",D3-NI,Isolate,Network Isolation,T1563
38.15,CIS 38.15 (L1) Ensure 'Enable Public Network Firewall' is set to 'True' (Automated),D3-NI,Isolate,Network Isolation,T1563
38.16,CIS 38.16 (L1) Ensure 'Enable Public Network Firewall: Allow Local Ipsec Policy Merge' is set to 'False' (Automated),D3-NI,Isolate,Network Isolation,T1563
38.17,CIS 38.17 (L1) Ensure 'Enable Public Network Firewall: Allow Local Policy Merge' is set to 'False' (Automated),D3-NI,Isolate,Network Isolation,T1563
38.18,CIS 38.18 (L1) Ensure 'Enable Public Network Firewall: Default Inbound Action for Public Profile' is set to 'Block' (Automated),D3-NI,Isolate,Network Isolation,T1563
38.19,CIS 38.19 (L1) Ensure 'Enable Public Network Firewall: Disable Inbound Notifications' is set to 'True' (Automated),D3-NI,Isolate,Network Isolation,T1563
38.20,CIS 38.20 (L1) Ensure 'Enable Public Network Firewall: Enable Log Dropped Packets' is set to 'Yes: Enable Logging Of Dropped Packets' (Automated),D3-NI,Isolate,Network Isolation,T1563
38.21,CIS 38.21 (L1) Ensure 'Enable Public Network Firewall: Enable Log Success Connections' is set to 'Enable Logging Of Successful Connections' (Automated),D3-NI,Isolate,Network Isolation,T1563
38.22,CIS 38.22 (L1) Ensure 'Enable Public Network Firewall: Log File Path' is set to '%SystemRoot%\System32\logfiles\firewall\publicfw.log' (Automated),D3-NI,Isolate,Network Isolation,T1563
38.23,"CIS 38.23 (L1) Ensure 'Enable Public Network Firewall: Log Max File Size' is set to '16,384 KB or greater' (Automated)",D3-NI,Isolate,Network Isolation,T1563
46.1,CIS 46.1 (L1) Ensure 'Enable insecure guest logons' is set to 'Disabled' (Automated),D3-LME,Detect,Log Management,T1005
49.1,CIS 49.1 (L1) Ensure 'Accounts: Enable Guest account status' is set to 'Disabled' (Automated),D3-LAM,Access Control,Account Management,T1078
49.2,CIS 49.2 (L1) Ensure 'Accounts: Limit local account use of blank passwords to console logon only' is set to 'Enabled' (Automated),D3-LAM,Access Control,Account Management,T1078
49.6,CIS 49.6 (L1) Ensure 'Interactive logon: Do not display last signed-in' is set to 'Enabled' (Automated),D3-LME,Detect,Log Management,T1005
49.7,CIS 49.7 (L1) Ensure 'Interactive logon: Do not require CTRL+ALT+DEL' is set to 'Disabled' (Automated),D3-LME,Detect,Log Management,T1005
49.8,"CIS 49.8 (L1) Ensure 'Interactive logon: Machine inactivity limit' is set to '900 or fewer second(s), but not 0' (Automated)",D3-LME,Detect,Log Management,T1005
49.11,CIS 49.11 (L1) Ensure 'Interactive logon: Smart card removal behavior' is set to 'Lock Workstation' or higher (Automated),D3-LME,Detect,Log Management,T1005
49.12,CIS 49.12 (L1) Ensure 'Microsoft network client: Digitally sign communications (always)' is set to 'Enabled' (Automated),D3-NI,Isolate,Network Isolation,T1563
49.13,CIS 49.13 (L1) Ensure 'Microsoft network client: Digitally sign communications (if server agrees)' is set to 'Enabled' (Automated),D3-NI,Isolate,Network Isolation,T1563
49.14,CIS 49.14 (L1) Ensure 'Microsoft network client: Send unencrypted password to third-party SMB servers' is set to 'Disabled' (Automated),D3-PWD,Access Control,Password Policies,T1201
49.15,CIS 49.15 (L1) Ensure 'Microsoft network server: Digitally sign communications (always)' is set to 'Enabled' (Automated),D3-NI,Isolate,Network Isolation,T1563
49.16,CIS 49.16 (L1) Ensure 'Microsoft network server: Digitally sign communications (if client agrees)' is set to 'Enabled' (Automated),D3-NI,Isolate,Network Isolation,T1563
49.17,CIS 49.17 (L1) Ensure 'Network access: Do not allow anonymous enumeration of SAM accounts' is set to 'Enabled' (Automated),D3-LAM,Access Control,Account Management,T1078
49.18,CIS 49.18 (L1) Ensure 'Network access: Do not allow anonymous enumeration of SAM accounts and shares' is set to 'Enabled' (Automated),D3-LAM,Access Control,Account Management,T1078
49.19,CIS 49.19 (L1) Ensure 'Network access: Restrict anonymous access to Named Pipes and Shares' is set to 'Enabled' (Automated),D3-NI,Isolate,Network Isolation,T1563
49.20,CIS 49.20 (L1) Ensure 'Network access: Restrict clients allowed to make remote calls to SAM' is set to 'Administrators: Remote Access: Allow' (Automated),D3-NI,Isolate,Network Isolation,T1563
49.21,CIS 49.21 (L1) Ensure 'Network security: Allow Local System to use computer identity for NTLM' is set to 'Allow' (Automated),D3-NI,Isolate,Network Isolation,T1563
49.22,CIS 49.22 (L1) Ensure 'Network Security: Allow PKU2U authentication requests' is set to 'Block' (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
49.23,CIS 49.23 (L1) Ensure 'Network security: Do not store LAN Manager hash value on next password change' is set to 'Enabled' (Automated),D3-PWD,Access Control,Password Policies,T1201
49.24,CIS 49.24 (L1) Ensure 'Network security: LAN Manager authentication level' is set to 'Send LM and NTLMv2 responses only. Refuse LM and NTLM' (Automated),D3-PM,Harden,Patch Management,T1072
49.25,CIS 49.25 (L1) Ensure 'Network Security Minimum Session Security For NTLMSSP Based Clients' is set to 'Require NTLM and 128-bit encryption' (Automated),D3-NI,Isolate,Network Isolation,T1563
49.26,CIS 49.26 (L1) Ensure 'Network Security Minimum Session Security For NTLMSSP Based Servers' is set to 'Require NTLM and 128-bit encryption' (Automated),D3-NI,Isolate,Network Isolation,T1563
49.27,CIS 49.27 (L1) Ensure 'Network security: Restrict NTLM: Audit Incoming NTLM Traffic' is set to 'Enable auditing for all accounts' (Automated),D3-LAM,Access Control,Account Management,T1078
49.28,CIS 49.28 (L1) Ensure 'User Account Control: Behavior of the elevation prompt for administrators' is set to 'Prompt for consent on the secure desktop' or higher (Automated),D3-LAM,Access Control,Account Management,T1078
49.29,CIS 49.29 (L1) Ensure 'User Account Control: Behavior of the elevation prompt for standard users' is set to 'Automatically deny elevation requests' (Automated),D3-LAM,Access Control,Account Management,T1078
49.30,CIS 49.30 (L1) Ensure 'User Account Control: Detect application installations and prompt for elevation' is set to 'Enabled' (Automated),D3-LAM,Access Control,Account Management,T1078
49.31,CIS 49.31 (L1) Ensure 'User Account Control: Only elevate UIAccess applications that are installed in secure locations' is set to 'Enabled' (Automated),D3-LAM,Access Control,Account Management,T1078
49.32,CIS 49.32 (L1) Ensure 'User Account Control: Use Admin Approval Mode' is set to 'Enabled' (Automated),D3-LAM,Access Control,Account Management,T1078
49.33,CIS 49.33 (L1) Ensure 'User Account Control: Switch to the secure desktop when prompting for elevation' is set to 'Enabled' (Automated),D3-LAM,Access Control,Account Management,T1078
49.34,CIS 49.34 (L1) Ensure 'User Account Control: Run all administrators in Admin Approval Mode' is set to 'Enabled' (Automated),D3-LAM,Access Control,Account Management,T1078
49.35,CIS 49.35 (L1) Ensure 'User Account Control: Virtualize file and registry write failures to per-user locations' is set to 'Enabled' (Automated),D3-LAM,Access Control,Account Management,T1078
50.1,CIS 50.1 (L1) Ensure 'Configure Lsa Protected Process is set to 'Enabled with UEFI Lock...' (Automated),D3-SCA,Harden,System Configuration,T1546
55.1,CIS 55.1 (L1) Ensure 'Allow apps from the Microsoft app store to auto update' is set to 'Allowed' (Automated),D3-PM,Harden,Patch Management,T1072
55.2,CIS 55.2 (L1) Ensure 'Allow Game DVR' is set to 'Block' (Automated),D3-SCA,Harden,System Configuration,T1546
55.4,CIS 55.4 (L1) Ensure 'Block Non Admin User Install' is set to 'Block' (Automated),D3-SCA,Harden,System Configuration,T1546
55.6,CIS 55.6 (L1) Ensure 'MSI Allow user control over installs' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
55.7,CIS 55.7 (L1) Ensure 'MSI Always install with elevated privileges' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
55.8,CIS 55.8 (L1) Ensure 'MSI Always install with elevated privileges (User)' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
68.2,CIS 68.2 (L1) Ensure 'Allow Input Personalization' is set to 'Block' (Automated),D3-SCA,Harden,System Configuration,T1546
68.4,CIS 68.4 (L1) Ensure 'Let Apps Activate With Voice Above Lock' is set to 'Enabled: Force Deny' (Automated),D3-SCA,Harden,System Configuration,T1546
72.2,CIS 72.2 (L1) Ensure 'Allow Indexing Encrypted Stores Or Items' is set to 'Block' (Automated),D3-SCA,Harden,System Configuration,T1546
72.3,CIS 72.3 (L1) Ensure 'Allow Search To Use Location' is set to 'Block' (Automated),D3-DL Prevention,Isolate,Data Loss Prevention,T1565
76.1.1,CIS 76.1.1 (L1) Ensure 'Notify Malicious' is set to 'Enabled' (Automated),D3-SCA,Harden,System Configuration,T1546
76.1.2,CIS 76.1.2 (L1) Ensure 'Notify Password Reuse' is set to 'Enabled' (Automated),D3-PWD,Access Control,Password Policies,T1201
76.1.3,CIS 76.1.3 (L1) Ensure 'Notify Unsafe App' is set to 'Enabled' (Automated),D3-SCA,Harden,System Configuration,T1546
76.1.4,CIS 76.1.4 (L1) Ensure 'Service Enabled' is set to 'Enabled' (Automated),D3-SCA,Harden,System Configuration,T1546
79.1,CIS 79.1 (L1) Ensure 'Enable Sudo' is set to 'Sudo is disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
80.3,CIS 80.3 (L1) Ensure 'Allow Telemetry' is set to 'Basic' (Automated),D3-DL Prevention,Isolate,Data Loss Prevention,T1565
80.6,CIS 80.6 (L1) Ensure 'Enable OneSettings Auditing' is set to 'Enabled' (Automated),D3-SCA,Harden,System Configuration,T1546
80.7,CIS 80.7 (L1) Ensure 'Limit Diagnostic Log Collection' is set to 'Enabled' (Automated),D3-LME,Detect,Log Management,T1005
80.8,CIS 80.8 (L1) Ensure 'Limit Dump Collection' is set to 'Enabled' (Automated),D3-SCA,Harden,System Configuration,T1546
81.3,CIS 81.3 (L1) Ensure 'Computer Browser (Browser)' is set to 'Disabled' or 'Not Installed' (Automated),D3-SCA,Harden,System Configuration,T1546
81.7,CIS 81.7 (L1) Ensure 'IIS Admin Service (IISADMIN)' is set to 'Disabled' or 'Not Installed' (Automated),D3-SCA,Harden,System Configuration,T1546
81.8,CIS 81.8 (L1) Ensure 'Infrared monitor service (irmon)' is set to 'Disabled' or 'Not Installed' (Automated),D3-SCA,Harden,System Configuration,T1546
81.10,CIS 81.10 (L1) Ensure 'LxssManager (LxssManager)' is set to 'Disabled' or 'Not Installed' (Automated),D3-SCA,Harden,System Configuration,T1546
81.11,CIS 81.11 (L1) Ensure 'Microsoft FTP Service (FTPSVC)' is set to 'Disabled' or 'Not Installed' (Automated),D3-SCA,Harden,System Configuration,T1546
81.13,CIS 81.13 (L1) Ensure 'OpenSSH SSH Server (sshd)' is set to 'Disabled' or 'Not Installed' (Automated),D3-SCA,Harden,System Configuration,T1546
81.20,CIS 81.20 (L1) Ensure 'Remote Procedure Call (RPC) Locator (RpcLocator)' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
81.22,CIS 81.22 (L1) Ensure 'Routing and Remote Access (RemoteAccess)' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
81.24,CIS 81.24 (L1) Ensure 'Simple TCP/IP Services (simptcp)' is set to 'Disabled' or 'Not Installed' (Automated),D3-SCA,Harden,System Configuration,T1546
81.26,CIS 81.26 (L1) Ensure 'Special Administration Console Helper (sacsvr)' is set to 'Disabled' or 'Not Installed' (Automated),D3-SCA,Harden,System Configuration,T1546
81.27,CIS 81.27 (L1) Ensure 'SSDP Discovery (SSDPSRV)' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
81.28,CIS 81.28 (L1) Ensure 'UPnP Device Host (upnphost)' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
81.29,CIS 81.29 (L1) Ensure 'Web Management Service (WMSvc)' is set to 'Disabled' or 'Not Installed' (Automated),D3-SCA,Harden,System Configuration,T1546
81.32,CIS 81.32 (L1) Ensure 'Windows Media Player Network Sharing Service (WMPNetworkSvc)' is set to 'Disabled' or 'Not Installed' (Automated),D3-NI,Isolate,Network Isolation,T1563
81.33,CIS 81.33 (L1) Ensure 'Windows Mobile Hotspot Service (icssvc)' is set to 'Disabled' (Automated),D3-SB,Harden,Execution Prevention,T1542
81.38,CIS 81.38 (L1) Ensure 'World Wide Web Publishing Service (W3SVC)' is set to 'Disabled' or 'Not Installed' (Automated),D3-SCA,Harden,System Configuration,T1546
81.39,CIS 81.39 (L1) Ensure 'Xbox Accessory Management Service (XboxGipSvc)' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
81.40,CIS 81.40 (L1) Ensure 'Xbox Live Auth Manager (XblAuthManager)' is set to 'Disabled' (Automated),D3-MFA,Access Control,Multi-factor Authentication,T1556
81.41,CIS 81.41 (L1) Ensure 'Xbox Live Game Save (XblGameSave)' is set to 'Disabled' (Automated),D3-SCA,Harden,System Configuration,T1546
81.42,CIS 81.42 (L1) Ensure 'Xbox Live Networking Service (XboxNetApiSvc)' is set to 'Disabled' (Automated),D3-NI,Isolate,Network Isolation,T1563
89.1,CIS 89.1 (L1) Ensure 'Access Credential Manager As Trusted Caller' is set to 'No One' (Automated),D3-LAM,Access Control,Account Management,T1078
89.2,"CIS 89.2 (L1) Ensure 'Access From Network' is set to 'Administrators, Remote Desktop Users' (Automated)",D3-NI,Isolate,Network Isolation,T1563
89.3,CIS 89.3 (L1) Ensure 'Act As Part Of The Operating System' is set to 'No One' (Automated),D3-SCA,Harden,System Configuration,T1546
89.4,"CIS 89.4 (L1) Ensure 'Allow Local Log On' is set to 'Administrators, Users' (Automated)",D3-LME,Detect,Log Management,T1005
89.5,CIS 89.5 (L1) Ensure 'Backup Files And Directories' is set to 'Administrators' (Automated),D3-DBK,Recover,Data Backup,T1534
89.6,"CIS 89.6 (L1) Ensure 'Change System Time' is set to 'Administrators, LOCAL SERVICE' (Automated)",D3-SCA,Harden,System Configuration,T1546
89.7,"CIS 89.7 (L1) Ensure 'Create Global Objects' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE' (Automated)",D3-NI,Isolate,Network Isolation,T1563
89.8,CIS 89.8 (L1) Ensure 'Create Page File' is set to 'Administrators' (Automated),D3-SCA,Harden,System Configuration,T1546
89.9,CIS 89.9 (L1) Ensure 'Create Permanent Shared Objects' is set to 'No One' (Automated),D3-SCA,Harden,System Configuration,T1546
89.10,CIS 89.10 (L1) Ensure 'Create Symbolic Links' is set to 'Administrators' (Automated),D3-SCA,Harden,System Configuration,T1546
89.11,CIS 89.11 (L1) Ensure 'Create Token' is set to 'No One' (Automated),D3-SCA,Harden,System Configuration,T1546
89.12,CIS 89.12 (L1) Ensure 'Debug Programs' is set to 'Administrators' (Automated),D3-SCA,Harden,System Configuration,T1546
89.13,"CIS 89.13 (L1) Ensure 'Deny Access From Network' to include 'Guests, Local account' (Automated)",D3-LAM,Access Control,Account Management,T1078
89.14,CIS 89.14 (L1) Ensure 'Deny Local Log On' to include 'Guests' (Automated),D3-LME,Detect,Log Management,T1005
89.15,CIS 89.15 (L1) Ensure 'Deny Log On As Batch Job' to include 'Guests' (Automated),D3-LME,Detect,Log Management,T1005
89.16,CIS 89.16 (L1) Ensure 'Deny Log On As Service Job' to include 'Guests' (Automated),D3-LME,Detect,Log Management,T1005
89.17,"CIS 89.17 (L1) Ensure 'Deny Remote Desktop Services Log On' to include 'Guests, Local account' (Automated)",D3-LAM,Access Control,Account Management,T1078
89.18,CIS 89.18 (L1) Ensure 'Enable Delegation' is set to 'No One' (Automated),D3-SCA,Harden,System Configuration,T1546
89.19,"CIS 89.19 (L1) Ensure 'Generate Security Audits' is set to 'LOCAL SERVICE, NETWORK SERVICE' (Automated)",D3-NI,Isolate,Network Isolation,T1563
89.20,"CIS 89.20 (L1) Ensure 'Impersonate Client' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE' (Automated)",D3-NI,Isolate,Network Isolation,T1563
89.21,"CIS 89.21 (L1) Ensure 'Increase Scheduling Priority' is set to 'Administrators, Window Manager\Window Manager Group' (Automated)",D3-SCA,Harden,System Configuration,T1546
89.22,CIS 89.22 (L1) Ensure 'Load Unload Device Drivers' is set to 'Administrators' (Automated),D3-SCA,Harden,System Configuration,T1546
89.23,CIS 89.23 (L1) Ensure 'Lock Memory' is set to 'No One' (Automated),D3-SCA,Harden,System Configuration,T1546
89.25,CIS 89.25 (L1) Ensure 'Manage auditing and security log' is set to 'Administrators' (Automated),D3-LME,Detect,Log Management,T1005
89.26,CIS 89.26 (L1) Ensure 'Manage Volume' is set to 'Administrators' (Automated),D3-SCA,Harden,System Configuration,T1546
89.27,CIS 89.27 (L1) Ensure 'Modify Firmware Environment' is set to 'Administrators' (Automated),D3-SCA,Harden,System Configuration,T1546
89.28,CIS 89.28 (L1) Ensure 'Modify Object Label' is set to 'No One' (Automated),D3-SCA,Harden,System Configuration,T1546
89.29,CIS 89.29 (L1) Ensure 'Profile Single Process' is set to 'Administrators' (Automated),D3-LME,Detect,Log Management,T1005
89.30,"CIS 89.30 (L1) Ensure 'Profile System Performance' is set to 'Administrators, NT SERVICE\WdiServiceHost' (Automated)",D3-SCA,Harden,System Configuration,T1546
89.31,CIS 89.31 (L1) Ensure 'Remote Shutdown' is set to 'Administrators' (Automated),D3-SCA,Harden,System Configuration,T1546
89.32,"CIS 89.32 (L1) Ensure 'Replace Process Level Token' is set to 'LOCAL SERVICE, NETWORK SERVICE' (Automated)",D3-NI,Isolate,Network Isolation,T1563
89.33,CIS 89.33 (L1) Ensure 'Restore Files And Directories' is set to 'Administrators' (Automated),D3-SCA,Harden,System Configuration,T1546
89.34,"CIS 89.34 (L1) Ensure 'Shut Down The System' is set to 'Administrators, Users' (Automated)",D3-SCA,Harden,System Configuration,T1546
89.35,CIS 89.35 (L1) Ensure 'Take Ownership' is set to 'Administrators' (Automated),D3-SCA,Harden,System Configuration,T1546
90.1,CIS 90.1 (L1) Ensure 'Hypervisor Enforced Code Integrity' is set to 'Enabled with UEFI lock' (Automated),D3-SB,Harden,Execution Prevention,T1542
90.2,CIS 90.2 (L1) Ensure 'Require UEFI Memory Attributes Table' is set to 'Require UEFI Memory Attributes Table' (Automated),D3-SCA,Harden,System Configuration,T1546
93.1,CIS 93.1 (L1) Ensure 'Allow Auto Connect To Wi Fi Sense Hotspots' is set to 'Block' (Automated),D3-SCA,Harden,System Configuration,T1546
94.1,CIS 94.1 (L1) Ensure 'Allow widgets' is set to 'Not allowed' (Automated),D3-SCA,Harden,System Configuration,T1546
